pressSerialNumber,jobName,siteName,copies,impressions,printedSheets,jobSubmitTime,jobCompleteTime,jobSubmitTimeLocalized,jobCompleteTimeLocalized,epmImpressions,width,useOfVDP,printedJobId,height,deviceId,marker,repeatLength,impressionsType,duplex,oneShotImpressions,impressions1Color,impressions2Colors,impressionsNColors,inkUnits,jobElapseTime,jobProgress,jobCollation,substrateUnits_value,substrateUnits_unit,substrates_1_name,substrates_1_amountUsed,inks_1_color,inks_1_amountUsed,inks_1_inkSerialNumber,inks_2_color,inks_2_amountUsed,inks_2_inkSerialNumber,inks_3_color,inks_3_amountUsed,inks_3_inkSerialNumber,inks_4_color,inks_4_amountUsed,inks_4_inkSerialNumber,substrates_2_name,substrates_2_amountUsed,substrates_3_name,substrates_3_amountUsed,substrates_4_name,substrates_4_amountUsed
60001071,11790660_130017262_JDF,Chicago,43,172,43,2024-03-16T08:33:19.000+00:00,2024-03-16T08:34:01.000+00:00,2024-03-16T08:33:19.000,2024-03-16T08:34:01.000,0,750,No,60001071_10769612_1710577885000_1710577885000,528.0,1c666851-a007-4085-9cb4-edf1c38b0ebb,220212990,0,B2,False,0,0,0,172,IMPRESSIONS,42,ABORTED,,43,SHEETS,130017262     14pt C1S Gloss Cover,43.0,Yellow,43.0,EG00Y2Y417634.754LHK,Cyan,43.0,EGC3Y250634.750014,Magenta,43.0,EG00M2Y401434.75WIES,Black,43.0,EGK3Y729834.750179,,,,,,
60001071,11790660_130017262_JDF,Chicago,30,120,30,2024-03-16T08:34:13.000+00:00,2024-03-16T08:34:45.000+00:00,2024-03-16T08:34:13.000,2024-03-16T08:34:45.000,0,750,No,60001071_10769612_1710577885000_1710577885000,528.0,1c666851-a007-4085-9cb4-edf1c38b0ebb,220212992,0,B2,False,0,0,0,120,IMPRESSIONS,32,ABORTED,,30,SHEETS,130017262     14pt C1S Gloss Cover,30.0,Yellow,30.0,EG00Y2Y417634.754LHK,Cyan,30.0,EGC3Y250634.750014,Magenta,30.0,EG00M2Y401434.75WIES,Black,30.0,EGK3Y729834.750179,,,,,,
60001112,1012559_MailingB_Print_1.pdf,Chicago,2249,18005,2249,2024-03-16T07:34:41.000+00:00,2024-03-16T08:36:03.000+00:00,2024-03-16T07:34:41.000,2024-03-16T08:36:03.000,0,749,No,60001112_698035_1710511528000_1710511528000,528.0,2607605d-ecc6-49f3-9488-b495786295be,220213234,0,B2,True,0,0,0,18005,IMPRESSIONS,3682,ABORTED,,2249,SHEETS,130016508      100lb Gloss Cover,2249.0,Yellow,4502.0,EG00Y2Y417634.75NPUD,Cyan,4501.0,EGC3Y256534.750304,Magenta,4502.0,EG00M2Y401434.75DE1Z,Black,4500.0,EGK3Y729834.750163,,,,,,
60001112,1012559_MailingB_Print_1.pdf,Chicago,159,1266,159,2024-03-16T08:38:14.000+00:00,2024-03-16T08:43:09.000+00:00,2024-03-16T08:38:14.000,2024-03-16T08:43:09.000,0,749,No,60001112_698035_1710511528000_1710511528000,528.0,2607605d-ecc6-49f3-9488-b495786295be,220215181,0,B2,True,0,0,1,1265,IMPRESSIONS,295,PRINTED,,159,SHEETS,130016508      100lb Gloss Cover,159.0,Yellow,316.0,EG00Y2Y417634.75NPUD,Cyan,317.0,EGC3Y256534.750304,Magenta,316.0,EG00M2Y401434.75DE1Z,Black,317.0,EGK3Y729834.750163,,,,,,
60001112,1012559_MailingB_Print_2.pdf,Chicago,0,0,0,2024-03-16T08:42:38.000+00:00,2024-03-16T08:43:10.000+00:00,2024-03-16T08:42:38.000,2024-03-16T08:43:10.000,0,749,No,60001112_698004_1710511514000_1710511514000,528.0,2607605d-ecc6-49f3-9488-b495786295be,220215182,0,B2,True,0,0,0,0,IMPRESSIONS,32,ABORTED,,,,,,,,,,,,,,,,,,,,,,,
47200165,11790625_chp.pdf,Chicago,31,5663,735,2024-03-16T08:13:56.000+00:00,2024-03-16T08:44:55.000+00:00,2024-03-16T08:13:56.000,2024-03-16T08:44:55.000,0,331,No,47200165_1762172_1710523816000_1710523816000,482.6,62773841-83fc-4251-aa11-864a43545e15,220217729,0,A3,True,0,31,0,5632,IMPRESSIONS,1859,ABORTED,,735,SHEETS,PSP-130015163 - 13pt Matte Cover Recycled,735.0,Yellow,1439.0,EF053Y0123TTHC,Cyan,1408.0,EF013Y9804J07I,Magenta,1408.0,EF033Y6099DUO3,Black,1408.0,EF073Y6833A6U1,,,,,,
60001112,1012559_MailingB_Print_2.pdf,Chicago,230,1850,230,2024-03-16T08:43:58.000+00:00,2024-03-16T08:50:28.000+00:00,2024-03-16T08:43:58.000,2024-03-16T08:50:28.000,0,749,No,60001112_698004_1710511514000_1710511514000,528.0,2607605d-ecc6-49f3-9488-b495786295be,220218707,0,B2,True,0,0,0,1850,IMPRESSIONS,390,ABORTED,,230,SHEETS,130016508      100lb Gloss Cover,230.0,Yellow,463.0,EG00Y2Y417634.75NPUD,Cyan,462.0,EGC3Y256534.750304,Magenta,463.0,EG00M2Y401434.75DE1Z,Black,462.0,EGK3Y729834.750163,,,,,,
47200165,11790625_chp.pdf,Chicago,0,16,2,2024-03-16T08:49:05.000+00:00,2024-03-16T08:49:41.000+00:00,2024-03-16T08:49:05.000,2024-03-16T08:49:41.000,0,331,No,47200165_1762172_1710523816000_1710523816000,482.6,62773841-83fc-4251-aa11-864a43545e15,220219693,0,A3,True,0,0,0,16,IMPRESSIONS,36,PRINTED,,2,SHEETS,PSP-130015163 - 13pt Matte Cover Recycled,2.0,Yellow,4.0,EF053Y0123TTHC,Cyan,4.0,EF013Y9804J07I,Magenta,4.0,EF033Y6099DUO3,Black,4.0,EF073Y6833A6U1,,,,,,
60001071,11790660_130017262_JDF,Chicago,2,8,2,2024-03-16T09:00:16.000+00:00,2024-03-16T09:00:51.000+00:00,2024-03-16T09:00:16.000,2024-03-16T09:00:51.000,0,750,No,60001071_10769612_1710577885000_1710577885000,528.0,1c666851-a007-4085-9cb4-edf1c38b0ebb,220220544,0,B2,False,0,0,0,8,IMPRESSIONS,35,PRINTED,,2,SHEETS,130017262     14pt C1S Gloss Cover,2.0,Yellow,2.0,EG00Y2Y417634.754LHK,Cyan,2.0,EGC3Y250634.750014,Magenta,2.0,EG00M2Y401434.75WIES,Black,2.0,EGK3Y729834.750179,,,,,,
60001071,11790660_130017262_JDF,Chicago,454,1818,454,2024-03-16T09:01:24.000+00:00,2024-03-16T09:11:05.000+00:00,2024-03-16T09:01:24.000,2024-03-16T09:11:05.000,0,750,No,60001071_10769612_1710577885000_1710577885000,528.0,1c666851-a007-4085-9cb4-edf1c38b0ebb,220222171,0,B2,False,0,0,0,1818,IMPRESSIONS,581,ABORTED,,454,SHEETS,130017262     14pt C1S Gloss Cover,454.0,Yellow,455.0,EG00Y2Y417634.754LHK,Cyan,454.0,EGC3Y250634.750014,Magenta,455.0,EG00M2Y401434.75WIES,Black,454.0,EGK3Y729834.750179,,,,,,
