pressSerialNumber,jobName,siteName,copies,impressions,printedSheets,jobSubmitTime,jobCompleteTime,jobSubmitTimeLocalized,jobCompleteTimeLocalized,epmImpressions,width,useOfVDP,printedJobId,height,deviceId,marker,repeatLength,impressionsType,duplex,oneShotImpressions,impressions1Color,impressions2Colors,impressionsNColors,inkUnits,jobElapseTime,jobProgress,jobCollation,substrateUnits_value,substrateUnits_unit,substrates_0_name,substrates_0_amountUsed,inks_0_color,inks_0_amountUsed,inks_0_inkSerialNumber,inks_1_color,inks_1_amountUsed,inks_1_inkSerialNumber,inks_2_color,inks_2_amountUsed,inks_2_inkSerialNumber,inks_3_color,inks_3_amountUsed,inks_3_inkSerialNumber,inks_4_color,inks_4_amountUsed,inks_4_inkSerialNumber
47200165,11788166_130016592_JDF,Chicago,35,274,35,2024-03-06T21:20:24.000+00:00,2024-03-06T21:22:18.000+00:00,2024-03-06T21:20:24.000,2024-03-06T21:22:18.000,0,331,No,47200165_1717760_1709760138000_1709760138000,482.6,62773841-83fc-4251-aa11-864a43545e15,212975737,0,A3,True,0,0,1,273,IMPRESSIONS,114,PRINTED,,35,SHEETS,PSP-130016592-14pt C2S Gloss Cover,35.0,Yellow,68.0,EF053Y0020JWU6,Cyan,68.0,EF013Y9797G78Z,Magenta,69.0,EF033Y5936LZ19,Black,69.0,ef073y6567gdev,,,
47200165,11788413_130016592_JDF,Chicago,94,746,94,2024-03-06T21:22:12.000+00:00,2024-03-06T21:26:16.000+00:00,2024-03-06T21:22:12.000,2024-03-06T21:26:16.000,0,331,No,47200165_1717781_1709760376000_1709760376000,482.6,62773841-83fc-4251-aa11-864a43545e15,212975736,0,A3,True,0,0,1,745,IMPRESSIONS,244,PRINTED,,94,SHEETS,PSP-130016592-14pt C2S Gloss Cover,94.0,Yellow,186.0,EF053Y0020JWU6,Cyan,186.0,EF013Y9797G78Z,Magenta,187.0,EF033Y5936LZ19,Black,187.0,ef073y6567gdev,,,
47200165,IMP_2345806.pdf,Chicago,23,178,23,2024-03-06T20:35:34.000+00:00,2024-03-06T20:36:38.000+00:00,2024-03-06T20:35:34.000,2024-03-06T20:36:38.000,0,331,No,47200165_1717514_1709757237000_1709757237000,482.6,62773841-83fc-4251-aa11-864a43545e15,212975735,0,A3,True,0,0,1,177,IMPRESSIONS,64,PRINTED,,23,SHEETS,PSP-130016592-14pt C2S Gloss Cover,23.0,Yellow,44.0,EF053Y0020JWU6,Cyan,44.0,EF013Y9797G78Z,Magenta,45.0,EF033Y5936LZ19,Black,45.0,ef073y6567gdev,,,
47200165,IMP_2345801.pdf,Chicago,34,266,34,2024-03-06T20:37:16.000+00:00,2024-03-06T20:38:51.000+00:00,2024-03-06T20:37:16.000,2024-03-06T20:38:51.000,0,331,No,47200165_1717569_1709757531000_1709757531000,482.6,62773841-83fc-4251-aa11-864a43545e15,212975734,0,A3,True,0,0,1,265,IMPRESSIONS,95,PRINTED,,34,SHEETS,PSP-130016592-14pt C2S Gloss Cover,34.0,Yellow,66.0,EF053Y0020JWU6,Cyan,66.0,EF013Y9797G78Z,Magenta,67.0,EF033Y5936LZ19,Black,67.0,ef073y6567gdev,,,
47200165,IMP_2345719.pdf,Chicago,156,622,156,2024-03-06T20:40:50.000+00:00,2024-03-06T20:43:40.000+00:00,2024-03-06T20:40:50.000,2024-03-06T20:43:40.000,0,331,No,47200165_1715761_1709742961000_1709742961000,482.6,62773841-83fc-4251-aa11-864a43545e15,212975732,0,A3,False,0,0,1,621,IMPRESSIONS,170,PRINTED,,156,SHEETS,RLM-714912- 100# Velvet Text 13x19,156.0,Yellow,155.0,EF053Y0020JWU6,Cyan,155.0,EF013Y9797G78Z,Magenta,156.0,EF033Y5936LZ19,Black,156.0,ef073y6567gdev,,,
47200165,11788394_130015965_JDF,Chicago,670,5354,670,2024-03-06T20:45:33.000+00:00,2024-03-06T21:14:22.000+00:00,2024-03-06T20:45:33.000,2024-03-06T21:14:22.000,0,331,No,47200165_1717636_1709757917000_1709757917000,482.6,62773841-83fc-4251-aa11-864a43545e15,212975731,0,A3,True,0,0,1,5353,IMPRESSIONS,1729,PRINTED,,670,SHEETS,PSP-130015965-16pt Coated Gloss Cover,670.0,Yellow,1338.0,EF053Y0020JWU6,Cyan,1338.0,EF013Y9797G78Z,Magenta,1339.0,EF033Y5936LZ19,Black,1339.0,ef073y6567gdev,,,
47200165,11788394_130015965_JDF,Chicago,2,16,2,2024-03-06T20:45:06.000+00:00,2024-03-06T20:45:17.000+00:00,2024-03-06T20:45:06.000,2024-03-06T20:45:17.000,0,331,No,47200165_1717636_1709757917000_1709757917000,482.6,62773841-83fc-4251-aa11-864a43545e15,212957692,0,A3,True,0,0,0,16,IMPRESSIONS,11,PRINTED,,2,SHEETS,PSP-130015965-16pt Coated Gloss Cover,2.0,Yellow,4.0,EF053Y0020JWU6,Cyan,4.0,EF013Y9797G78Z,Magenta,4.0,EF033Y5936LZ19,Black,4.0,ef073y6567gdev,,,
47200165,IMP_2345719.pdf,Chicago,2,8,2,2024-03-06T20:39:01.000+00:00,2024-03-06T20:39:10.000+00:00,2024-03-06T20:39:01.000,2024-03-06T20:39:10.000,0,331,No,47200165_1715761_1709742961000_1709742961000,482.6,62773841-83fc-4251-aa11-864a43545e15,212957690,0,A3,False,0,0,0,8,IMPRESSIONS,9,PRINTED,,2,SHEETS,RLM-714912- 100# Velvet Text 13x19,2.0,Yellow,2.0,EF053Y0020JWU6,Cyan,2.0,EF013Y9797G78Z,Magenta,2.0,EF033Y5936LZ19,Black,2.0,ef073y6567gdev,,,
47200165,IMP_2345806.pdf,Chicago,2,16,2,2024-03-06T20:33:45.000+00:00,2024-03-06T20:33:57.000+00:00,2024-03-06T20:33:45.000,2024-03-06T20:33:57.000,0,331,No,47200165_1717514_1709757237000_1709757237000,482.6,62773841-83fc-4251-aa11-864a43545e15,212949656,0,A3,True,0,0,0,16,IMPRESSIONS,12,PRINTED,,2,SHEETS,PSP-130016592-14pt C2S Gloss Cover,2.0,Yellow,4.0,EF053Y0020JWU6,Cyan,4.0,EF013Y9797G78Z,Magenta,4.0,EF033Y5936LZ19,Black,4.0,ef073y6567gdev,,,
47200165,IMP_2345394.pdf,Chicago,28,218,28,2024-03-06T20:31:19.000+00:00,2024-03-06T20:32:36.000+00:00,2024-03-06T20:31:19.000,2024-03-06T20:32:36.000,0,331,No,47200165_1717466_1709756970000_1709756970000,482.6,62773841-83fc-4251-aa11-864a43545e15,212949655,0,A3,True,0,0,1,217,IMPRESSIONS,77,PRINTED,,28,SHEETS,PSP-130016041-100# Gloss cover,28.0,Yellow,54.0,EF053Y0020JWU6,Cyan,54.0,EF013Y9797G78Z,Magenta,55.0,EF033Y5936LZ19,Black,55.0,ef073y6567gdev,,,
