pressSerialNumber,jobName,siteName,copies,impressions,printedSheets,jobSubmitTime,jobCompleteTime,jobSubmitTimeLocalized,jobCompleteTimeLocalized,epmImpressions,width,useOfVDP,printedJobId,height,deviceId,marker,repeatLength,impressionsType,duplex,oneShotImpressions,impressions1Color,impressions2Colors,impressionsNColors,inkUnits,jobElapseTime,jobProgress,jobCollation,substrateUnits_value,substrateUnits_unit,substrates_1_name,substrates_1_amountUsed,substrates_2_name,substrates_2_amountUsed,substrates_3_name,substrates_3_amountUsed,substrates_4_name,substrates_4_amountUsed,inks_1_amountUsed,inks_1_inkSerialNumber,inks_2_color,inks_2_amountUsed,inks_2_inkSerialNumber,inks_3_color,inks_3_amountUsed,inks_3_inkSerialNumber,inks_4_color,inks_4_amountUsed,inks_4_inkSerialNumber,inks_5_color,inks_5_amountUsed,inks_5_inkSerialNumber
47200165,IMP_2355631_PS.pdf,Chicago,2,20,2,2024-03-18T15:52:20.000+00:00,2024-03-18T15:52:39.000+00:00,2024-03-18T15:52:20.000,2024-03-18T15:52:39.000,0,331,No,47200165_1772317_1710777159000_1710777159000,482.6,62773841-83fc-4251-aa11-864a43545e15,221340744,0,A3,True,0,0,0,20,IMPRESSIONS,19,PRINTED,None,2,SHEETS,RLM-724912- 100# velvet cover 13x19,2.0,None,None,None,None,None,None,4.0,ef052y842007py,P425CR,4.0,None,Black,4.0,EF073Y6833A6U1,Magenta,4.0,ef033y6077ac04,Cyan,4.0,ef013y9722c5r5
60001112,11790720_130015070_3_JDF,Chicago,18,144,18,2024-03-18T14:49:18.000+00:00,2024-03-18T14:50:16.000+00:00,2024-03-18T14:49:18.000,2024-03-18T14:50:16.000,0,-1,-1,60001112_733093_1710771191000_1710771191000,-1.0,2607605d-ecc6-49f3-9488-b495786295be,221342578,0,B2,False,0,0,0,144,IMPRESSIONS,58,PRINTED,None,18,SHEETS,130015070      13pt Matte Cover Recycle,18.0,None,None,None,None,None,None,36.0,EG00Y2Y417634.759EKW,Cyan,36.0,EGC3Y249834.750382,Magenta,36.0,EGM3Y296134.750196,Black,36.0,EGK3Y729834.750173,,,
60001071,11789979_130016727_5_JDF,Chicago,20,160,20,2024-03-18T16:10:42.000+00:00,2024-03-18T16:12:05.000+00:00,2024-03-18T16:10:42.000,2024-03-18T16:12:05.000,0,748,No,60001071_10799690_1710757177000_1710757177000,528.0,1c666851-a007-4085-9cb4-edf1c38b0ebb,221349067,0,B2,True,0,0,0,160,IMPRESSIONS,83,PRINTED,None,20,SHEETS,1302259_1309871_J711912 MFP,20.0,None,None,None,None,None,None,40.0,EG00Y2Y417634.75T1HR,Cyan,40.0,EGC3Y249834.750381,Magenta,40.0,EGM3Y296134.750197,Black,40.0,EGK3Y729834.750174,,,
60001071,11789979_130016727_4_JDF,Chicago,0,0,0,2024-03-18T16:11:35.000+00:00,2024-03-18T16:12:06.000+00:00,2024-03-18T16:11:35.000,2024-03-18T16:12:06.000,0,748,No,60001071_10805274_1710777106000_1710777106000,528.0,1c666851-a007-4085-9cb4-edf1c38b0ebb,221349068,0,B2,True,0,0,0,0,IMPRESSIONS,31,ABORTED,None,None,None,,,,,,,,,,,,,,,,,,,,,,
47200165,IMP_2355631_PS.pdf,Chicago,161,1602,161,2024-03-18T15:53:09.000+00:00,2024-03-18T16:02:14.000+00:00,2024-03-18T15:53:09.000,2024-03-18T16:02:14.000,0,331,No,47200165_1772317_1710777159000_1710777159000,482.6,62773841-83fc-4251-aa11-864a43545e15,221351160,0,A3,True,0,0,1,1601,IMPRESSIONS,545,PRINTED,None,161,SHEETS,RLM-724912- 100# velvet cover 13x19,161.0,None,None,None,None,None,None,320.0,ef052y842007py,P425CR,320.0,None,Black,321.0,EF073Y6833A6U1,Magenta,321.0,ef033y6077ac04,Cyan,320.0,ef013y9722c5r5
47200165,IMP_2354538.pdf,Chicago,2,16,2,2024-03-18T16:02:41.000+00:00,2024-03-18T16:03:15.000+00:00,2024-03-18T16:02:41.000,2024-03-18T16:03:15.000,0,331,No,47200165_1767482_1710724139000_1710724139000,483.0,62773841-83fc-4251-aa11-864a43545e15,221351161,0,A3,True,0,0,0,16,IMPRESSIONS,34,PRINTED,None,2,SHEETS,1302259_1309871_J711912 MFP,2.0,None,None,None,None,None,None,4.0,ef052y842007py,Cyan,4.0,ef013y9722c5r5,Magenta,4.0,ef033y6077ac04,Black,4.0,EF073Y6833A6U1,,,
47200165,IMP_2354538.pdf,Chicago,13,98,13,2024-03-18T16:07:20.000+00:00,2024-03-18T16:08:09.000+00:00,2024-03-18T16:07:20.000,2024-03-18T16:08:09.000,0,331,No,47200165_1767482_1710724139000_1710724139000,482.6,62773841-83fc-4251-aa11-864a43545e15,221351162,0,A3,True,0,0,1,97,IMPRESSIONS,49,PRINTED,None,13,SHEETS,PSP-130015965-16pt Coated Gloss Cover,13.0,None,None,None,None,None,None,24.0,ef052y842007py,Cyan,24.0,ef013y9722c5r5,Magenta,25.0,ef033y6077ac04,Black,25.0,EF073Y6833A6U1,,,
47200165,IMP_2355358_PS.pdf,Chicago,2,10,2,2024-03-18T16:11:23.000+00:00,2024-03-18T16:11:39.000+00:00,2024-03-18T16:11:23.000,2024-03-18T16:11:39.000,0,331,No,47200165_1772430_1710778299000_1710778299000,482.6,62773841-83fc-4251-aa11-864a43545e15,221351163,0,A3,False,0,0,0,10,IMPRESSIONS,16,PRINTED,None,2,SHEETS,RLM-724912- 100# velvet cover 13x19,2.0,None,None,None,None,None,None,2.0,ef052y842007py,P425CR,2.0,None,Black,2.0,EF073Y6833A6U1,Magenta,2.0,ef033y6077ac04,Cyan,2.0,ef013y9722c5r5
60001112,11790921_130016727_2_JDF,Chicago,2,16,2,2024-03-18T16:16:06.000+00:00,2024-03-18T16:16:40.000+00:00,2024-03-18T16:16:06.000,2024-03-18T16:16:40.000,0,-1,-1,60001112_734313_1710778600000_1710778600000,-1.0,2607605d-ecc6-49f3-9488-b495786295be,221357028,0,B2,False,0,0,0,16,IMPRESSIONS,34,PRINTED,None,2,SHEETS,1302259_1309871_J711912 MFP,2.0,None,None,None,None,None,None,4.0,EG00Y2Y417634.759EKW,Cyan,4.0,EGC3Y249834.750382,Magenta,4.0,EGM3Y296134.750196,Black,4.0,EGK3Y729834.750173,,,
60001071,11789979_130016727_4_JDF,Chicago,520,4160,520,2024-03-18T16:12:58.000+00:00,2024-03-18T16:27:20.000+00:00,2024-03-18T16:12:58.000,2024-03-18T16:27:20.000,0,748,No,60001071_10805274_1710777106000_1710777106000,528.0,1c666851-a007-4085-9cb4-edf1c38b0ebb,221360018,0,B2,True,0,0,0,4160,IMPRESSIONS,862,PRINTED,None,520,SHEETS,1302259_1309871_J711912 MFP,520.0,None,None,None,None,None,None,1040.0,EG00Y2Y417634.75T1HR,Cyan,1040.0,EGC3Y249834.750381,Magenta,1040.0,EGM3Y296134.750197,Black,1040.0,EGK3Y729834.750174,,,
47200165,IMP_2355131_PS.pdf,Chicago,63,622,63,2024-03-18T16:18:19.000+00:00,2024-03-18T16:21:47.000+00:00,2024-03-18T16:18:19.000,2024-03-18T16:21:47.000,0,331,No,47200165_1772523_1710778907000_1710778907000,482.6,62773841-83fc-4251-aa11-864a43545e15,221362069,0,A3,True,0,0,1,621,IMPRESSIONS,208,PRINTED,None,63,SHEETS,RLM-724912- 100# velvet cover 13x19,63.0,None,None,None,None,None,None,124.0,ef052y842007py,P425CR,124.0,None,Black,125.0,EF073Y6833A6U1,Magenta,125.0,ef033y6077ac04,Cyan,124.0,ef013y9722c5r5
47200165,IMP_2354545_PS.pdf,Chicago,61,602,61,2024-03-18T16:15:07.000+00:00,2024-03-18T16:18:26.000+00:00,2024-03-18T16:15:07.000,2024-03-18T16:18:26.000,0,331,No,47200165_1772493_1710778706000_1710778706000,482.6,62773841-83fc-4251-aa11-864a43545e15,221362070,0,A3,True,0,0,1,601,IMPRESSIONS,199,PRINTED,None,61,SHEETS,RLM-724912- 100# velvet cover 13x19,61.0,None,None,None,None,None,None,120.0,ef052y842007py,P425CR,120.0,None,Black,121.0,EF073Y6833A6U1,Magenta,121.0,ef033y6077ac04,Cyan,120.0,ef013y9722c5r5
