pressSerialNumber,jobName,siteName,copies,impressions,printedSheets,jobSubmitTime,jobCompleteTime,jobSubmitTimeLocalized,jobCompleteTimeLocalized,epmImpressions,width,useOfVDP,printedJobId,height,deviceId,marker,repeatLength,impressionsType,duplex,oneShotImpressions,impressions1Color,impressions2Colors,impressionsNColors,inkUnits,jobElapseTime,jobProgress,jobCollation,substrateUnits_value,substrateUnits_unit,substrates_1_name,substrates_1_amountUsed,inks_1_color,inks_1_amountUsed,inks_1_inkSerialNumber,inks_2_color,inks_2_amountUsed,inks_2_inkSerialNumber,inks_3_color,inks_3_amountUsed,inks_3_inkSerialNumber,inks_4_color,inks_4_amountUsed,inks_4_inkSerialNumber,substrates_2_name,substrates_2_amountUsed,substrates_3_name,substrates_3_amountUsed,substrates_4_name,substrates_4_amountUsed
47200304,11790715_130016693_JDF,Salt lake City,704,2816,704,2024-03-16T06:03:18.000+00:00,2024-03-16T06:15:50.000+00:00,2024-03-16T06:03:18.000,2024-03-16T06:15:50.000,0,305,No,47200304_463539_1710515378000_1710515378000,457.0,4b9fea2b-d61f-4a3c-a369-f2f356149f23,220196402,0,A3,False,0,0,0,2816,IMPRESSIONS,752,ABORTED,,704,SHEETS,Sticker Vinyl 6693,704.0,Yellow,704.0,ef053y0140oa8l,Cyan,704.0,ef013y9797xnxp,Magenta,704.0,ef033y5772mvbd,Black,704.0,ef073y6776o88f,,,,,,
60001071,11790677_130015070_1_JDF,Chicago,260,1040,260,2024-03-16T07:28:10.000+00:00,2024-03-16T07:32:03.000+00:00,2024-03-16T07:28:10.000,2024-03-16T07:32:03.000,0,749,No,60001071_10768311_1710574323000_1710574323000,527.0,1c666851-a007-4085-9cb4-edf1c38b0ebb,220196818,0,B2,False,0,0,0,1040,IMPRESSIONS,233,PRINTED,,260,SHEETS,130015070     13pt Matte Cover Recycle,260.0,Yellow,260.0,EG00Y2Y417634.754LHK,Cyan,260.0,EGC3Y250634.750014,Magenta,260.0,EG00M2Y401434.75WIES,Black,260.0,EGK3Y729834.750179,,,,,,
60001071,11790677_130015070_2_JDF,Chicago,65,260,65,2024-03-16T07:31:35.000+00:00,2024-03-16T07:33:01.000+00:00,2024-03-16T07:31:35.000,2024-03-16T07:33:01.000,0,749,No,60001071_10768330_1710574381000_1710574381000,527.0,1c666851-a007-4085-9cb4-edf1c38b0ebb,220196820,0,B2,False,0,0,0,260,IMPRESSIONS,86,PRINTED,,65,SHEETS,130015070     13pt Matte Cover Recycle,65.0,Yellow,65.0,EG00Y2Y417634.754LHK,Cyan,65.0,EGC3Y250634.750014,Magenta,65.0,EG00M2Y401434.75WIES,Black,65.0,EGK3Y729834.750179,,,,,,
47200304,11790715_130016693_JDF,Salt lake City,252,1006,252,2024-03-16T06:25:02.000+00:00,2024-03-16T06:29:49.000+00:00,2024-03-16T06:25:02.000,2024-03-16T06:29:49.000,0,305,No,47200304_463539_1710515378000_1710515378000,457.0,4b9fea2b-d61f-4a3c-a369-f2f356149f23,220198173,0,A3,False,0,0,1,1005,IMPRESSIONS,287,PRINTED,,252,SHEETS,Sticker Vinyl 6693,252.0,Yellow,251.0,ef053y0140oa8l,Cyan,252.0,ef013y9797xnxp,Magenta,251.0,ef033y5772mxa6,Black,252.0,ef073y6776o88f,,,,,,
60001071,11790680_130015070_JDF,Chicago,168,1354,168,2024-03-16T07:32:33.000+00:00,2024-03-16T07:37:52.000+00:00,2024-03-16T07:32:33.000,2024-03-16T07:37:52.000,0,749,No,60001071_10768396_1710574672000_1710574672000,527.0,1c666851-a007-4085-9cb4-edf1c38b0ebb,220198459,0,B2,True,0,0,0,1354,IMPRESSIONS,319,ABORTED,,168,SHEETS,130015070     13pt Matte Cover Recycle,168.0,Yellow,339.0,EG00Y2Y417634.754LHK,Cyan,338.0,EGC3Y250634.750014,Magenta,339.0,EG00M2Y401434.75WIES,Black,338.0,EGK3Y729834.750179,,,,,,
60001071,11790680_130015070_JDF,Chicago,96,768,96,2024-03-16T07:38:59.000+00:00,2024-03-16T07:41:58.000+00:00,2024-03-16T07:38:59.000,2024-03-16T07:41:58.000,0,749,No,60001071_10768396_1710574672000_1710574672000,527.0,1c666851-a007-4085-9cb4-edf1c38b0ebb,220198464,0,B2,True,0,0,0,768,IMPRESSIONS,179,PRINTED,,96,SHEETS,130015070     13pt Matte Cover Recycle,96.0,Yellow,192.0,EG00Y2Y417634.754LHK,Cyan,192.0,EGC3Y250634.750014,Magenta,192.0,EG00M2Y401434.75WIES,Black,192.0,EGK3Y729834.750179,,,,,,
60001112,1012559_MailingA_Print_7.pdf,Chicago,746,5962,746,2024-03-16T07:12:57.000+00:00,2024-03-16T07:33:51.000+00:00,2024-03-16T07:12:57.000,2024-03-16T07:33:51.000,0,749,No,60001112_698031_1710511525000_1710511525000,528.0,2607605d-ecc6-49f3-9488-b495786295be,220198727,0,B2,True,0,0,1,5961,IMPRESSIONS,1254,PRINTED,,746,SHEETS,130016508      100lb Gloss Cover,746.0,Yellow,1490.0,EG00Y2Y417634.75NPUD,Cyan,1491.0,EGC3Y256534.750298,Magenta,1490.0,EG00M2Y401434.75DE1Z,Black,1491.0,EGK3Y729834.750172,,,,,,
60001112,1012559_MailingB_Print_1.pdf,Chicago,0,0,0,2024-03-16T07:33:18.000+00:00,2024-03-16T07:33:52.000+00:00,2024-03-16T07:33:18.000,2024-03-16T07:33:52.000,0,749,No,60001112_698035_1710511528000_1710511528000,528.0,2607605d-ecc6-49f3-9488-b495786295be,220198728,0,B2,True,0,0,0,0,IMPRESSIONS,34,ABORTED,,,,,,,,,,,,,,,,,,,,,,,
60002010,11790704_130015070_JDF,Salt lake City,2,16,2,2024-03-16T06:48:28.000+00:00,2024-03-16T06:48:59.000+00:00,2024-03-16T06:48:28.000,2024-03-16T06:48:59.000,0,750,No,60002010_1307793_1710569309000_1710569309000,527.5,e09ac4c2-3668-4e36-9092-f2d4aba6f994,220199853,0,B2,True,0,0,0,16,IMPRESSIONS,31,PRINTED,,2,SHEETS,13pt Matte 5070,2.0,Yellow,4.0,EG00Y2Y421934.75CS73,Cyan,4.0,EG00C2Y414334.75FYU5,Magenta,4.0,EG00M2Y405534.75TEAR,Black,4.0,EGK3Y713034.750220,,,,,,
47200165,1427143_YELLOW.pdf,Chicago,316,2528,316,2024-03-16T07:33:35.000+00:00,2024-03-16T07:44:46.000+00:00,2024-03-16T07:33:35.000,2024-03-16T07:44:46.000,0,331,No,47200165_1764508_1710574310000_1710574310000,482.6,62773841-83fc-4251-aa11-864a43545e15,220201382,0,A3,True,0,0,0,2528,IMPRESSIONS,671,ABORTED,,316,SHEETS,FHR 110# Index Cover,316.0,Yellow,632.0,EF053Y0123TTHC,Cyan,632.0,EF013Y9804J07I,Magenta,632.0,EF033Y6099DUO3,Black,632.0,EF073Y6833A6U1,,,,,,
47200165,1427143_YELLOW.pdf,Chicago,72,570,72,2024-03-16T07:45:19.000+00:00,2024-03-16T07:47:54.000+00:00,2024-03-16T07:45:19.000,2024-03-16T07:47:54.000,0,331,No,47200165_1764508_1710574310000_1710574310000,482.6,62773841-83fc-4251-aa11-864a43545e15,220201390,0,A3,True,0,0,1,569,IMPRESSIONS,155,PRINTED,,72,SHEETS,FHR 110# Index Cover,72.0,Yellow,142.0,EF053Y0123TTHC,Cyan,142.0,EF013Y9804J07I,Magenta,143.0,EF033Y6099DUO3,Black,143.0,EF073Y6833A6U1,,,,,,
47200165,1427108_5_of_5_YELLOW.pdf,Chicago,34,266,34,2024-03-16T07:49:44.000+00:00,2024-03-16T07:50:55.000+00:00,2024-03-16T07:49:44.000,2024-03-16T07:50:55.000,0,331,No,47200165_1764650_1710575455000_1710575455000,482.6,62773841-83fc-4251-aa11-864a43545e15,220201391,0,A3,True,0,0,1,265,IMPRESSIONS,71,PRINTED,,34,SHEETS,FHR 110# Index Cover,34.0,Yellow,66.0,EF053Y0123TTHC,Cyan,66.0,EF013Y9804J07I,Magenta,67.0,EF033Y6099DUO3,Black,67.0,EF073Y6833A6U1,,,,,,
47200165,1427108_4_of_5_SALMON.pdf,Chicago,2,14,2,2024-03-16T07:51:48.000+00:00,2024-03-16T07:52:21.000+00:00,2024-03-16T07:51:48.000,2024-03-16T07:52:21.000,0,331,No,47200165_1764662_1710575541000_1710575541000,482.6,62773841-83fc-4251-aa11-864a43545e15,220201392,0,A3,True,0,0,0,14,IMPRESSIONS,33,PRINTED,,2,SHEETS,FHR 110# Index Cover,2.0,Yellow,4.0,EF053Y0123TTHC,Cyan,2.0,EF013Y9804J07I,Magenta,4.0,EF033Y6099DUO3,Black,4.0,EF073Y6833A6U1,,,,,,
60001071,11790681_130015070_JDF,Chicago,251,2018,251,2024-03-16T07:41:27.000+00:00,2024-03-16T07:49:04.000+00:00,2024-03-16T07:41:27.000,2024-03-16T07:49:04.000,0,749,No,60001071_10768580_1710575344000_1710575344000,527.0,1c666851-a007-4085-9cb4-edf1c38b0ebb,220201945,0,B2,True,0,0,0,2018,IMPRESSIONS,457,ABORTED,,251,SHEETS,130015070     13pt Matte Cover Recycle,251.0,Yellow,505.0,EG00Y2Y417634.754LHK,Cyan,504.0,EGC3Y250634.750014,Magenta,505.0,EG00M2Y401434.75WIES,Black,504.0,EGK3Y729834.750179,,,,,,
60001071,11790681_130015070_JDF,Chicago,9,72,9,2024-03-16T07:50:06.000+00:00,2024-03-16T07:50:37.000+00:00,2024-03-16T07:50:06.000,2024-03-16T07:50:37.000,0,749,No,60001071_10768580_1710575344000_1710575344000,527.0,1c666851-a007-4085-9cb4-edf1c38b0ebb,220201947,0,B2,True,0,0,0,72,IMPRESSIONS,31,PRINTED,,9,SHEETS,130015070     13pt Matte Cover Recycle,9.0,Yellow,18.0,EG00Y2Y417634.754LHK,Cyan,18.0,EGC3Y250634.750014,Magenta,18.0,EG00M2Y401434.75WIES,Black,18.0,EGK3Y729834.750179,,,,,,
60001071,11790671_130017262_1_JDF,Chicago,88,704,88,2024-03-16T07:53:08.000+00:00,2024-03-16T07:55:53.000+00:00,2024-03-16T07:53:08.000,2024-03-16T07:55:53.000,0,750,No,60001071_10768748_1710575753000_1710575753000,528.0,1c666851-a007-4085-9cb4-edf1c38b0ebb,220201951,0,B2,True,0,0,0,704,IMPRESSIONS,165,PRINTED,,88,SHEETS,130017262      14pt C1S Gloss Cover **Flipped*,88.0,Yellow,176.0,EG00Y2Y417634.754LHK,Cyan,176.0,EGC3Y250634.750014,Magenta,176.0,EG00M2Y401434.75WIES,Black,176.0,EGK3Y729834.750179,,,,,,
60002010,11790704_130015070_JDF,Salt lake City,2,16,2,2024-03-16T07:02:50.000+00:00,2024-03-16T07:03:21.000+00:00,2024-03-16T07:02:50.000,2024-03-16T07:03:21.000,0,750,No,60002010_1307793_1710569309000_1710569309000,527.5,e09ac4c2-3668-4e36-9092-f2d4aba6f994,220203329,0,B2,True,0,0,0,16,IMPRESSIONS,31,PRINTED,,2,SHEETS,13pt Matte 5070,2.0,Yellow,4.0,EG00Y2Y421934.75CS73,Cyan,4.0,EG00C2Y414334.75FYU5,Magenta,4.0,EG00M2Y405534.75TEAR,Black,4.0,EGK3Y713034.750220,,,,,,
47200304,11790750_130016693_JDF,Salt lake City,2,8,2,2024-03-16T06:58:29.000+00:00,2024-03-16T06:59:00.000+00:00,2024-03-16T06:58:29.000,2024-03-16T06:59:00.000,0,305,No,47200304_464049_1710572340000_1710572340000,457.0,4b9fea2b-d61f-4a3c-a369-f2f356149f23,220203386,0,A3,False,0,0,0,8,IMPRESSIONS,31,PRINTED,,2,SHEETS,Sticker Vinyl 6693,2.0,Yellow,2.0,ef053y0140oa8l,Cyan,2.0,ef013y9797xnxp,Magenta,2.0,ef033y5772mxa6,Black,2.0,ef073y6776o88f,,,,,,
47200165,1427108_3_of_5_GREEN.pdf,Chicago,10,74,10,2024-03-16T07:54:12.000+00:00,2024-03-16T07:55:01.000+00:00,2024-03-16T07:54:12.000,2024-03-16T07:55:01.000,0,331,No,47200165_1764685_1710575701000_1710575701000,482.6,62773841-83fc-4251-aa11-864a43545e15,220204823,0,A3,True,0,0,1,73,IMPRESSIONS,49,PRINTED,,10,SHEETS,FHR 110# Index Cover,10.0,Yellow,18.0,EF053Y0123TTHC,Cyan,18.0,EF013Y9804J07I,Magenta,19.0,EF033Y6099DUO3,Black,19.0,EF073Y6833A6U1,,,,,,
