pressSerialNumber,jobName,siteName,copies,impressions,printedSheets,jobSubmitTime,jobCompleteTime,jobSubmitTimeLocalized,jobCompleteTimeLocalized,epmImpressions,width,useOfVDP,printedJobId,height,deviceId,marker,repeatLength,impressionsType,duplex,oneShotImpressions,impressions1Color,impressions2Colors,impressionsNColors,inkUnits,jobElapseTime,jobProgress,jobCollation,substrateUnits_value,substrateUnits_unit,substrates_1_name,substrates_1_amountUsed,substrates_2_name,substrates_2_amountUsed,substrates_3_name,substrates_3_amountUsed,substrates_4_name,substrates_4_amountUsed,inks_1_color,inks_1_amountUsed,inks_1_inkSerialNumber,inks_2_color,inks_2_amountUsed,inks_2_inkSerialNumber,inks_3_color,inks_3_amountUsed,inks_3_inkSerialNumber,inks_4_color,inks_4_amountUsed,inks_4_inkSerialNumber,inks_5_color,inks_5_amountUsed,inks_5_inkSerialNumber
47200165,11787793_130016592_JDF,Chicago,0,0,0,2024-03-05T07:48:58.000+00:00,2024-03-05T07:49:30.000+00:00,2024-03-05T07:48:58.000,2024-03-05T07:49:30.000,0,331,No,47200165_1704809_1709623579000_1709623579000,482.6,62773841-83fc-4251-aa11-864a43545e15,211444709,-1,A3,True,0,0,0,0,IMPRESSIONS,32,ABORTED,,,,,,,,,,,,,,,,,,,,,,,,,,
47200165,11787793_130016592_JDF,Chicago,0,0,0,2024-03-05T07:59:27.000+00:00,2024-03-05T07:59:59.000+00:00,2024-03-05T07:59:27.000,2024-03-05T07:59:59.000,0,331,No,47200165_1704809_1709623579000_1709623579000,482.6,62773841-83fc-4251-aa11-864a43545e15,211451035,-1,A3,True,0,0,0,0,IMPRESSIONS,32,ABORTED,,,,,,,,,,,,,,,,,,,,,,,,,,
47200165,11787820_130014887_JDF,Chicago,50,200,50,2024-03-05T08:09:37.000+00:00,2024-03-05T08:10:36.000+00:00,2024-03-05T08:09:37.000,2024-03-05T08:10:36.000,0,331,No,47200165_1704952_1709626236000_1709626236000,482.6,62773841-83fc-4251-aa11-864a43545e15,211471664,0,A3,False,0,0,0,200,IMPRESSIONS,59,ABORTED,,50,SHEETS,PSP-1307398-15pt Velvet,50.0,,,,,,,Yellow,50.0,EF052Y8413KTK2,Cyan,50.0,EF013Y9797TCGM,Magenta,50.0,EF033Y5936A8O7,Black,50.0,EF073Y6567PKLG,,,
47200165,11787793_130016592_JDF,Chicago,21,162,21,2024-03-05T08:08:20.000+00:00,2024-03-05T08:09:44.000+00:00,2024-03-05T08:08:20.000,2024-03-05T08:09:44.000,0,331,No,47200165_1704809_1709623579000_1709623579000,482.6,62773841-83fc-4251-aa11-864a43545e15,211471665,0,A3,True,0,0,1,161,IMPRESSIONS,84,PRINTED,,21,SHEETS,PSP-130016592-14pt C2S Gloss Cover,21.0,,,,,,,Yellow,40.0,EF052Y8413KTK2,Cyan,40.0,EF013Y9797TCGM,Magenta,41.0,EF033Y5936A8O7,Black,41.0,EF073Y6567PKLG,,,
47200165,11787590_130014887_JDF,Chicago,2,16,2,2024-03-05T08:12:59.000+00:00,2024-03-05T08:13:32.000+00:00,2024-03-05T08:12:59.000,2024-03-05T08:13:32.000,0,331,No,47200165_1703820_1709610060000_1709610060000,482.6,62773841-83fc-4251-aa11-864a43545e15,211471669,0,A3,True,0,0,0,16,IMPRESSIONS,33,PRINTED,,2,SHEETS,PSP-1307398-15pt Velvet,2.0,,,,,,,Yellow,4.0,EF052Y8413KTK2,Cyan,4.0,EF013Y9797TCGM,Magenta,4.0,EF033Y5936A8O7,Black,4.0,EF073Y6567PKLG,,,
47200165,11787820_130014887_JDF,Chicago,5,18,5,2024-03-05T08:12:13.000+00:00,2024-03-05T08:12:32.000+00:00,2024-03-05T08:12:13.000,2024-03-05T08:12:32.000,0,331,No,47200165_1704952_1709626236000_1709626236000,482.6,62773841-83fc-4251-aa11-864a43545e15,211471670,0,A3,False,0,0,1,17,IMPRESSIONS,19,PRINTED,,5,SHEETS,PSP-1307398-15pt Velvet,5.0,,,,,,,Yellow,4.0,EF052Y8413KTK2,Cyan,4.0,EF013Y9797TCGM,Magenta,5.0,EF033Y5936A8O7,Black,5.0,EF073Y6567PKLG,,,
47200165,11787590_130014887_JDF,Chicago,40,320,40,2024-03-05T08:15:32.000+00:00,2024-03-05T08:17:20.000+00:00,2024-03-05T08:15:32.000,2024-03-05T08:17:20.000,0,331,No,47200165_1703820_1709610060000_1709610060000,482.6,62773841-83fc-4251-aa11-864a43545e15,211491605,0,A3,True,0,0,0,320,IMPRESSIONS,108,ABORTED,,40,SHEETS,PSP-1307398-15pt Velvet,40.0,,,,,,,Yellow,80.0,EF052Y8413KTK2,Cyan,80.0,EF013Y9797TCGM,Magenta,80.0,EF033Y5936A8O7,Black,80.0,EF073Y6567PKLG,,,
47200165,11787590_130014887_JDF,Chicago,2,16,2,2024-03-05T08:42:40.000+00:00,2024-03-05T08:43:12.000+00:00,2024-03-05T08:42:40.000,2024-03-05T08:43:12.000,0,331,No,47200165_1703820_1709610060000_1709610060000,482.6,62773841-83fc-4251-aa11-864a43545e15,211491606,0,A3,True,0,0,0,16,IMPRESSIONS,32,PRINTED,,2,SHEETS,PSP-1307398-15pt Velvet,2.0,,,,,,,Yellow,4.0,EF052Y8413KTK2,Cyan,4.0,EF013Y9797TCGM,Magenta,4.0,EF033Y5936A8O7,Black,4.0,EF073Y6567PKLG,,,
47200165,11787590_130014887_JDF,Chicago,2,16,2,2024-03-05T09:00:24.000+00:00,2024-03-05T09:00:57.000+00:00,2024-03-05T09:00:24.000,2024-03-05T09:00:57.000,0,331,No,47200165_1703820_1709610060000_1709610060000,482.6,62773841-83fc-4251-aa11-864a43545e15,211510637,0,A3,True,0,0,0,16,IMPRESSIONS,33,PRINTED,,2,SHEETS,PSP-1307398-15pt Velvet,2.0,,,,,,,Yellow,4.0,EF052Y8413KTK2,Cyan,4.0,EF013Y9797TCGM,Magenta,4.0,EF033Y5936A8O7,Black,4.0,EF073Y6567PKLG,,,
47200165,5832249_8707942.pdf,Chicago,2,16,2,2024-03-05T09:08:41.000+00:00,2024-03-05T09:09:15.000+00:00,2024-03-05T09:08:41.000,2024-03-05T09:09:15.000,0,331,No,47200165_1705178_1709629755000_1709629755000,483.0,62773841-83fc-4251-aa11-864a43545e15,211516673,0,A3,True,0,0,0,16,IMPRESSIONS,34,PRINTED,,2,SHEETS,1302259_1309871_J711912 MFP,2.0,,,,,,,Yellow,4.0,EF052Y8413KTK2,Cyan,4.0,EF013Y9797TCGM,Magenta,4.0,EF033Y5936A8O7,Black,4.0,EF073Y6567PKLG,,,
